site,date_collected,bromeliad_id,genus,distance_from_ground_cm,height_mm,width_mm,actual_volume_mL,water_holding_capacity_mL,longest_leaf_length_mm,detritus_g_coarse,detritus_g_fine,detritus_g_loose
brasso_seco,04/10/2022,B85,guzmania,NA,15,62,15,50,NA,NA,NA,NA
arima_valley,05/10/2022,B86,vriesea,NA,18,60,100,250,NA,NA,NA,NA
arima_valley,05/10/2022,B87,vriesea,NA,20,72,10,30,NA,NA,NA,NA
arima_valley,05/10/2022,B88,vriesea,NA,32,107,70,240,NA,NA,NA,NA
arima_valley,05/10/2022,B89,vriesea,NA,30,170,40,200,NA,NA,NA,NA
arima_valley,05/10/2022,B90,vriesea,NA,NA,NA,40,NA,89,NA,NA,NA
arima_valley,05/10/2022,B91,vriesea,NA,NA,NA,80,NA,NA,NA,NA,NA
arima_valley,05/10/2022,B91_a,vriesea,NA,11,82,NA,NA,NA,NA,NA,NA
arima_valley,05/10/2022,B91_b,vriesea,NA,20,115,NA,NA,NA,NA,NA,NA
arima_valley,05/10/2022,B92,vriesea,NA,NA,NA,10,NA,NA,NA,NA,NA
arima_valley,05/10/2022,B92_a,vriesea,NA,19,109,NA,NA,NA,NA,NA,NA
arima_valley,05/10/2022,B92_b,vriesea,NA,5,40,NA,NA,NA,NA,NA,NA
brasso_seco,12/10/2022,B93,vriesea,NA,23,176,60,200,NA,NA,NA,NA
arima_valley,24/10/2022,B94,aechmea,239.3,16,77.6,140,210,NA,NA,0.18599999999999994,5.560999999999999
brasso_seco,12/10/2022,B95,guzmania,131.3,12.5,97,40,60,NA,NA,0.3330000000000002,6.02
brasso_seco,12/10/2022,B96,guzmania,231.5,12.5,76.6,110,140,NA,NA,NA,4.458
brasso_seco,12/10/2022,B97,guzmania,132.6,11.9,84.3,90,130,NA,NA,NA,3.799999999999999
brasso_seco,12/10/2022,B98,guzmania,128.8,14.3,91.1,100,130,NA,NA,NA,NA
brasso_seco,12/10/2022,B99,guzmania,126.5,11.5,96.5,120,120,NA,NA,NA,NA
brasso_seco,12/10/2022,B100,guzmania,129,14.5,54.7,110,110,NA,0.20999999999999908,NA,2.8709999999999996
brasso_seco,12/10/2022,B101,guzmania,183.2,13.8,45.3,90,120,NA,NA,NA,1.5959999999999992
brasso_seco,12/10/2022,B102,guzmania,96.5,14.5,65.9,100,110,NA,NA,NA,7.361000000000001
brasso_seco,12/10/2022,B103,guzmania,107.6,12,67.3,100,150,NA,NA,NA,3.0390000000000006
brasso_seco,12/10/2022,B104,guzmania,161.2,13.5,56.3,140,NA,NA,NA,NA,3.9929999999999994
brasso_seco,12/10/2022,B105,guzmania,182.2,21.7,86.8,250,350,NA,NA,NA,5.13
arima_valley,24/10/2022,B106,aechmea,247,22,99.3,180,350,NA,0.6150000000000002,0.43599999999999994,6.591999999999999
arima_valley,24/10/2022,B107,guzmania,271.1,11,47.5,40,110,NA,0.835,0.49099999999999966,8.447000000000001
la_laja,25/10/2022,B108,vriesea,15,32.9,100,430,700,NA,2.3390000000000004,0.006999999999999673,13.781
la_laja,25/10/2022,B109,guzmania,128.6,12,44.5,50,160,NA,NA,NA,2.7510000000000012
la_laja,25/10/2022,B110,vriesea,186.2,NA,NA,230,NA,NA,1.4920000000000009,0.7479999999999993,3.055999999999999
la_laja,25/10/2022,B110_a,vriesea,186.2,15.2,66.1,NA,NA,NA,NA,NA,NA
la_laja,25/10/2022,B110_b,vriesea,186.2,12.8,52.6,NA,NA,NA,NA,NA,NA
la_laja,25/10/2022,B111,guzmania,275.6,12.5,50.8,170,NA,NA,0.4850000000000003,0.375,9.299
la_laja,25/10/2022,B112,guzmania,184.4,14.5,56.2,180,340,NA,1.1360000000000001,0.7150000000000007,11.142000000000001
la_laja,25/10/2022,B113,guzmania,366.2,15.5,59.3,60,360,NA,0.8169999999999993,0.4169999999999998,7.120000000000001
la_laja,25/10/2022,B114,guzmania,261.3,11,55.2,40,160,NA,0.125,0.049000000000001265,6.553000000000001
la_laja,25/10/2022,B115,guzmania,143,15.2,65.1,20,160,NA,0.48499999999999943,0.2289999999999992,3.3249999999999993
la_laja,25/10/2022,B116,guzmania,179.9,13.5,89.9,0,80,NA,0.49899999999999967,0.9469999999999992,6.126
la_laja,25/10/2022,B117,guzmania,172.5,13.6,94.1,40,90,NA,1.1550000000000002,0.5359999999999996,11.064
